Block;Plot;Graz;Fert;Richness;eH;BergerParker;Asynchrony;ANPP.Mean;ANPP.SD;ANPP.Stability
1;12;Grazed;Control;25.66666667;10.54033452;0.361109032;0.998516354;247.4666667;116.5376477;2.123491177
2;21;Grazed;Control;29;12.83375785;0.258667668;0.911983801;257.4166667;111.2488914;2.313880736
3;32;Grazed;Control;29;11.7877888;0.251399994;0.9636095;397.375;130.2685759;3.050428679
4;35;Grazed;Control;26.33333333;12.42417206;0.252237946;0.987897036;388.0111111;79.40860808;4.886260073
5;40;Grazed;Control;20.33333333;8.127633151;0.360891698;0.991154421;376.0515152;140.3939806;2.678544434
6;44;Grazed;Control;23;9.5911964;0.327452049;0.982428665;416.1;39.7394011;10.47071643
1;11;Grazed;NPK;18;7.200549213;0.292748638;0.92558302;600.0333333;89.74532486;6.685956447
2;22;Grazed;NPK;15.66666667;5.894172876;0.404715988;0.80161991;621.0727273;331.1606675;1.87544231
3;31;Grazed;NPK;26.33333333;11.83615036;0.233154056;0.91507317;432.1671958;225.7213106;1.914605203
4;36;Grazed;NPK;22.33333333;8.49136766;0.300285724;0.91584907;426.4666667;114.0051022;3.740768249
5;39;Grazed;NPK;15;5.571346946;0.39427111;0.85733403;553.9333333;160.9923704;3.440742762
6;43;Grazed;NPK;16.33333333;6.665009981;0.355900855;0.9378335;498.54;165.2322329;3.017207909
1;5;Ungrazed;Control;4.333333333;1.391867381;0.932467647;0.90569195;637.15;631.0656404;1.009641405
2;20;Ungrazed;Control;2.666666667;1.294068857;0.949076639;0.75326068;264.65;138.5883202;1.909612582
3;29;Ungrazed;Control;17.33333333;8.57950226;0.355394716;0.9302234;152.2333333;139.0976755;1.094434776
4;34;Ungrazed;Control;14.33333333;4.255140304;0.634647071;0.75870255;217.6833333;254.0804269;0.856749715
5;38;Ungrazed;Control;12;3.832782989;0.699558553;0.79362969;170.9;149.0056039;1.146936729
6;41;Ungrazed;Control;17.33333333;5.902480972;0.495970984;0.6181829;182.8;175.348339;1.042496331
1;8;Ungrazed;NPK;4.666666667;1.262262743;0.955105657;0.5158338;377.0166667;653.012022;0.577350269
2;16;Ungrazed;NPK;2.666666667;1.128485491;0.976809156;0.509561;256.85;181.7244961;1.413403286
3;26;Ungrazed;NPK;4.333333333;1.462634344;0.919422301;0.4173301;269.95;249.0310372;1.084001428
4;33;Ungrazed;NPK;5;1.331776492;0.943391059;0.5849272;264.9;284.6173396;0.930723337
5;37;Ungrazed;NPK;5.666666667;1.49615486;0.914356588;0.3574165;258.8666667;62.94621381;4.112505757
6;42;Ungrazed;NPK;9;2.311706738;0.820478017;0.2550818;364.5666667;433.7034279;0.840589775
